,State,County,POP2010,food_deserts,pop_in_des,perc_lila,n_tracts,urban_des,rural_des,n_urban,n_rural,des_percent,LowIncomeTracts,low_vehicle_tracts,total_housing_units,pop_in_group_housing,pop_LILA,state_pop_ratio,state_tract_ratio,cnty_obesity_pct_adj,cnty_dm_pct_adj,cnty_inactive_pct_adj,Adolescent_births,ABR,p_hs_edatt,PC_PHYS_R,DENTIST_R,PSYCH_R,PCT_HSPNC,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_AMIND_ESK,PCT_ISLANDER,PCT_MULTI,PCT_OTHER,PCT_65OVER,PCT_18_64,PCT_UNDR18,PCT_UNDER5,unemployment_rate,n_hospitals,mort_30_ami,mort_30_cabg,mort_30_copd,mort_30_hf,mort_30_pn,mort_30_stk,readm_30_ami,readm_30_cabg,readm_30_copd,readm_30_hf,readm_30_hip_knee,readm_30_hosp_wide,readm_30_pn,readm_30_stk,Chlamydia,Tuberculosis,Gonorrhea,HIV,senior_flu_deaths,Measles,Mumps,Pertussis,Rubella,varicella_hospitalizations,Salmonellosis,ecoli_hem,ecoli_nonhem,syphilis,botulism_dtfood,std,vaccine_dx,food_dx,opiods_rx_1000,opiods_greater_than_stateavg,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,PCH_FFR_07_12,FFR07,FFR12,pop2010_in_des
0,CA,Alameda,1510271,15,56082.0,0.0180317015536,360,15.0,0.0,354,6,0.0416666666667,153,53,545138,37442.0,27233,0.0405398825295,0.0448654037886,0.204,0.078,0.161,2765.0,0.1809375,0.857,2543.085625,1586.53375,18435.379375,0.20824375,0.5165875,0.1303,0.277825,0.01590625,0.01195625,0.04663125,0.099725,0.10795625,0.66281875,0.22920625,0.0653,0.0820853174603,168.0,0.138375,0.028,0.0778888888889,0.113555555556,0.114444444444,0.138111111111,0.17825,0.153,0.205777777778,0.226,0.0485714285714,0.154727272727,0.178777777778,0.1345,465.413160949,12.3818837811,127.394355053,15.6925478937,0.066213282252,0.132426564504,0.066213282252,28.8689910619,0.0,0.132426564504,17.0168135388,0.926985951528,0.264853129008,11.3886845473,0.0,619.888748443,41.6481545365,29.5973371666,557.2,0,1.122215,1.164422,0.8915755,8.90287769784,1112.0,1211,56082.0
1,CA,Alpine,1175,0,0.0,0.266287828135,1,0.0,0.0,0,1,0.0,0,0,497,24.0,313,3.15402745416e-05,0.000124626121635,0.232,0.077,0.173,0.0,0.0,0.81668627451,1176.0,0.0,0.0,0.0536,0.6896,0.0034,0.0408,0.2713,0.0,0.0451,0.04,0.0986,0.6403,0.2611,0.0944,0.116692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.68,0,1.032918,1.089488,0.8770728,-50.0,2.0,1,
2,CA,Amador,38091,0,0.0,0.149514156711,9,0.0,0.0,0,9,0.0,2,2,14569,4551.0,5695,0.00102246859367,0.00112163509472,0.228,0.075,0.158,55.0,0.19,0.877,2341.85,3025.82666667,4560.5,0.0921333333333,0.944466666667,0.0108,0.0154666666667,0.0309,0.00363333333333,0.0401,0.0349,0.214533333333,0.6217,0.1638,0.0329333333333,0.1105625,14.0,0.153,0.0,0.087,0.124,0.125,0.171,0.0,0.0,0.206,0.219,0.049,0.15,0.157,0.114,186.395736526,2.62529206374,10.501168255,0.0,0.0,2.62529206374,0.0,10.501168255,0.0,0.0,7.87587619123,0.0,2.62529206374,2.62529206374,0.0,199.522196844,15.7517523825,13.1264603187,1244.76,1,1.032918,1.089488,0.8770728,-5.55555555556,18.0,17,
3,CA,Butte,220000,14,58979.0,0.145582960145,51,13.0,1.0,38,13,0.274509803922,32,13,87618,4942.0,32028,0.00590541310566,0.00635593220339,0.243,0.073,0.163,590.0,0.238875,0.861,861.2775,2532.1875,6141.97625,0.1328125,0.9034375,0.014,0.0362875,0.0429375,0.0060875,0.0495,0.0503875,0.15455,0.6151375,0.230325,0.0530375,0.112293577982,56.0,0.134333333333,0.032,0.0755,0.10375,0.10975,0.133666666667,0.165666666667,0.146,0.21625,0.22475,0.0543333333333,0.16225,0.17875,0.127666666667,364.545454545,0.909090909091,27.7272727273,2.27272727273,0.0,0.0,0.0,14.5454545455,0.0,0.454545454545,25.9090909091,1.36363636364,0.0,0.454545454545,0.0,395.0,15.9090909091,27.7272727273,1389.2,1,0.9964433,1.130546,0.8153738,2.68456375839,149.0,153,58979.0
4,CA,Calaveras,45578,0,0.0,0.203344568697,10,0.0,0.0,2,8,0.0,2,1,18886,493.0,9268,0.00122344053877,0.00124626121635,0.253,0.067,0.161,73.0,0.177,0.931,2190.19,2420.74,45994.0,0.0999,0.9392,0.0121,0.0168,0.0339,0.0015,0.0264,0.0237,0.2003,0.5992,0.2005,0.0414,0.08125,14.0,0.0,0.0,0.08,0.122,0.109,0.146,0.0,0.0,0.208,0.223,0.048,0.157,0.166,0.144,105.313967265,0.0,13.1642459081,2.19404098469,0.0,0.0,0.0,19.7463688622,0.0,0.0,8.77616393874,2.19404098469,0.0,0.0,0.0,120.672254158,19.7463688622,10.9702049234,1068.98,1,1.032918,1.089488,0.8770728,-7.40740740741,27.0,25,
5,CA,Colusa,21419,1,6055.0,0.127573726908,5,1.0,0.0,2,3,0.2,3,0,7056,225.0,2733,0.000574945651409,0.000623130608175,0.223,0.074,0.155,73.0,0.29625,0.687,2974.2275,3280.875,1927.5,0.49595,0.73255,0.01535,0.019925,0.03765,0.00545,0.046975,0.2402,0.11985,0.58805,0.292075,0.078625,0.14952173913,14.0,0.0,0.0,0.078,0.115,0.109,0.0,0.0,0.0,0.206,0.215,0.0,0.155,0.168,0.0,144.73131332,14.0062561277,0.0,0.0,0.0,0.0,0.0,51.3562724684,0.0,0.0,0.0,4.66875204258,0.0,0.0,0.0,144.73131332,65.3625285961,4.66875204258,836.42,1,1.032918,1.089488,0.8770728,-16.6666666667,12.0,10,6055.0
6,CA,Contra Costa,1049025,15,77910.0,0.0374765567536,207,15.0,0.0,202,5,0.0724637681159,65,30,375364,10314.0,39314,0.0281587544689,0.0257976071785,0.234,0.07,0.161,1894.0,0.167090909091,0.884,1972.29636364,1642.19727273,11277.6736364,0.243181818182,0.659845454545,0.104336363636,0.159245454545,0.0134636363636,0.00812727272727,0.0454545454545,0.104727272727,0.1194,0.629445454545,0.251154545455,0.0662454545455,0.0773059701493,98.0,0.14225,0.0275,0.0768,0.114,0.1058,0.1398,0.16875,0.129,0.1968,0.211,0.05175,0.146571428571,0.1652,0.123,370.534543981,3.14577822264,78.2631491147,9.05602821668,0.0953266128071,0.0953266128071,0.0,19.5419556255,0.0,0.0,14.6802983723,0.762612902457,0.381306451229,4.38502418913,0.0,462.238745502,22.8783870737,20.2092419151,767.82,1,1.122215,1.164422,0.8915755,1.76848874598,622.0,633,77910.0
7,CA,Del Norte,28610,3,7023.0,0.258870125237,7,2.0,1.0,4,3,0.428571428571,5,2,9907,3818.0,7406,0.000767972131604,0.000872382851446,0.253,0.081,0.177,128.0,0.497,0.821,862.76,3163.44,4745.17,0.172,0.789,0.0504,0.0365,0.1001,0.0104,0.0659,0.0835,0.1382,0.6385,0.2232,0.0599,0.09992,14.0,0.138,0.0,0.076,0.107,0.123,0.145,0.166,0.0,0.196,0.233,0.0,0.153,0.169,0.122,160.782943027,0.0,3.49528137015,3.49528137015,0.0,0.0,0.0,55.9245019224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.773505767,55.9245019224,0.0,1604.28,1,0.9964433,1.130546,0.8153738,-21.4285714286,14.0,11,7023.0
8,CA,El Dorado,181058,3,10937.0,0.103226661543,42,2.0,1.0,20,22,0.0714285714286,6,3,70223,1643.0,18690,0.00486010130038,0.00523429710867,0.197,0.068,0.144,234.0,0.1444,0.934,4133.862,3867.794,14090.942,0.1149,0.91686,0.00988,0.03392,0.02644,0.00376,0.03318,0.04386,0.14238,0.63546,0.22212,0.05016,0.0865671641791,28.0,0.128,0.0,0.0785,0.1035,0.114,0.158,0.165,0.0,0.196,0.201,0.0465,0.145,0.169,0.112,134.211136763,0.552309204785,8.83694727656,2.20923681914,0.0,0.0,0.0,29.8246970584,0.0,0.0,12.7031117101,0.552309204785,0.0,1.10461840957,0.0,146.361939268,30.3770062632,14.3600393244,1066.12,1,1.032918,1.089488,0.8770728,-15.9663865546,119.0,100,10937.0
9,CA,Fresno,930450,31,167641.0,0.106664223911,199,26.0,5.0,170,29,0.155778894472,119,44,289391,17523.0,99246,0.0249758710189,0.0248005982054,0.292,0.091,0.201,5439.0,0.494285714286,0.729,4179.92071429,3755.86214286,16305.3842857,0.594907142857,0.693207142857,0.0504428571429,0.0777142857143,0.0214,0.00215,0.0314071428571,0.188707142857,0.0859357142857,0.59815,0.315921428571,0.0915928571429,0.11708650519,126.0,0.138,0.031,0.09025,0.1254,0.1305,0.164,0.1742,0.146666666667,0.2015,0.230666666667,0.043,0.150125,0.173,0.136333333333,640.120371863,5.9111182761,85.7649524424,11.069912408,0.0,0.0,0.0,59.111182761,0.0,0.214949755495,15.2614326401,0.859799021979,0.644849266484,2.0420226772,0.0,738.997259391,65.2372507926,18.8081036058,635.82,1,0.9964433,1.130546,0.8153738,6.09981515712,541.0,574,167641.0
