,CensusTract,County,LILATracts_1And10,Urban,Rural,laseniors20share,lakids20share,lahunv20share,POP2010,pop_in_des
3558,6001400100,Alameda,0,1,0,0.0,0.0,0.0,2937,0
3559,6001400200,Alameda,0,1,0,0.0,0.0,0.0,1974,0
3560,6001400300,Alameda,0,1,0,0.0,0.0,0.0,4865,0
3561,6001400400,Alameda,0,1,0,0.0,0.0,0.0,3703,0
3562,6001400500,Alameda,0,1,0,0.0,0.0,0.0,3517,0
3563,6001400600,Alameda,0,1,0,0.0,0.0,0.0,1571,0
3564,6001400700,Alameda,0,1,0,0.0,0.0,0.0,4206,0
3565,6001400800,Alameda,0,1,0,0.0,0.0,0.0,3594,0
3566,6001400900,Alameda,0,1,0,0.0,0.0,0.0,2302,0
3567,6001401000,Alameda,0,1,0,0.0,0.0,0.0,5678,0
3568,6001401100,Alameda,0,1,0,0.0,0.0,0.0,4156,0
3569,6001401200,Alameda,0,1,0,0.0,0.0,0.0,2416,0
3570,6001401300,Alameda,0,1,0,0.0,0.0,0.0,3528,0
3571,6001401400,Alameda,0,1,0,0.0,0.0,0.0,4314,0
3572,6001401500,Alameda,0,1,0,0.0,0.0,0.0,2630,0
3573,6001401600,Alameda,0,1,0,0.0,0.0,0.0,2163,0
3574,6001401700,Alameda,1,1,0,0.0,0.0,0.0,2667,2667
3575,6001401800,Alameda,1,1,0,0.0,0.0,0.0,1703,1703
3576,6001402200,Alameda,1,1,0,0.0,0.0,0.0,2385,2385
3577,6001402400,Alameda,0,1,0,0.0,0.0,0.0,2351,0
3578,6001402500,Alameda,0,1,0,0.0,0.0,0.0,1784,0
3579,6001402600,Alameda,0,1,0,0.0,0.0,0.0,1151,0
3580,6001402700,Alameda,0,1,0,0.0,0.0,0.0,1569,0
3581,6001402800,Alameda,0,1,0,0.0,0.0,0.0,3345,0
3582,6001402900,Alameda,0,1,0,0.0,0.0,0.0,1434,0
3583,6001403000,Alameda,0,1,0,0.0,0.0,0.0,2788,0
3584,6001403100,Alameda,0,1,0,0.0,0.0,0.0,2238,0
3585,6001403300,Alameda,0,1,0,0.0,0.0,0.0,4054,0
3586,6001403400,Alameda,0,1,0,0.0,0.0,0.0,4146,0
3587,6001403501,Alameda,0,1,0,0.0,0.0,0.0,4374,0
3588,6001403502,Alameda,0,1,0,0.0,0.0,0.0,1991,0
3589,6001403600,Alameda,0,1,0,0.0,0.0,0.0,4482,0
3590,6001403701,Alameda,0,1,0,0.0,0.0,0.0,2587,0
3591,6001403702,Alameda,0,1,0,0.0,0.0,0.0,1724,0
3592,6001403800,Alameda,0,1,0,0.0,0.0,0.0,3461,0
3593,6001403900,Alameda,0,1,0,0.0,0.0,0.0,3584,0
